"id","code","name","dpto_id/id","name_code","dpto_code"
"dpto_200","02","Ciudad Barrios","l10n_sv_rk.12",CIUDAD BARRIOS,12
"dpto_201","03","Comacaran","l10n_sv_rk.12",COMACARÁN,12
"dpto_202","04","Chapeltique","l10n_sv_rk.12",CHAPELTIQUE,12
"dpto_203","05","Chinameca","l10n_sv_rk.12",CHINAMECA,12
"dpto_204","06","Chirilagua","l10n_sv_rk.12",CHIRILAGUA,12
"dpto_205","07","El Transito","l10n_sv_rk.12",EL TRANSITO,12
"dpto_206","08","Lolotique","l10n_sv_rk.12",LOLOTIQUE,12
"dpto_207","09","Moncagua","l10n_sv_rk.12",MONCAGUA,12
"dpto_208","10","Nueva Guadalupe","l10n_sv_rk.12",NUEVA GUADALUPE,12
"dpto_209","11","Nvo Eden S Juan","l10n_sv_rk.12",NVO EDÉN S JUAN,12
"dpto_210","12","Quelepa","l10n_sv_rk.12",QUELEPA,12
"dpto_211","13","San Ant D Mosco","l10n_sv_rk.12",SAN ANT D MOSCO,12
"dpto_212","14","San Gerardo","l10n_sv_rk.12",SAN GERARDO,12
"dpto_213","15","San Jorge","l10n_sv_rk.12",SAN JORGE,12
"dpto_214","16","San Luis Reina","l10n_sv_rk.12",SAN LUIS REINA,12
"dpto_215","17","San Miguel","l10n_sv_rk.12",SAN MIGUEL,12
"dpto_216","18","San Raf Oriente","l10n_sv_rk.12",SAN RAF ORIENTE,12
"dpto_217","19","Sesori","l10n_sv_rk.12",SESORI,12
"dpto_218","20","Uluazapa","l10n_sv_rk.12",ULUAZAPA,12
"dpto_219","01","Arambala","l10n_sv_rk.13",ARAMBALA,13
"dpto_220","02","Cacaopera","l10n_sv_rk.13",CACAOPERA,13
"dpto_221","03","Corinto","l10n_sv_rk.13",CORINTO,13
"dpto_222","04","Chilanga","l10n_sv_rk.13",CHILANGA,13
"dpto_223","05","Delic De Concep","l10n_sv_rk.13",DELIC DE CONCEP,13
"dpto_224","06","El Divisadero","l10n_sv_rk.13",EL DIVISADERO,13
"dpto_225","07","El Rosario","l10n_sv_rk.13",EL ROSARIO,13
"dpto_226","08","Gualococti","l10n_sv_rk.13",GUALOCOCTI,13
"dpto_227","09","Guatajiagua","l10n_sv_rk.13",GUATAJIAGUA,13
"dpto_228","10","Joateca","l10n_sv_rk.13",JOATECA,13
"dpto_229","11","Jocoaitique","l10n_sv_rk.13",JOCOAITIQUE,13
"dpto_230","12","Jocoro","l10n_sv_rk.13",JOCORO,13
"dpto_231","13","Lolotiquillo","l10n_sv_rk.13",LOLOTIQUILLO,13
"dpto_232","14","Meanguera","l10n_sv_rk.13",MEANGUERA,13
"dpto_233","15","Osicala","l10n_sv_rk.13",OSICALA,13
"dpto_234","16","Perquin","l10n_sv_rk.13",Otro País,
"dpto_235","17","San Carlos","l10n_sv_rk.13",AHUACHAPÁN,
"dpto_236","18","San Fernando","l10n_sv_rk.13",APANECA,
"dpto_237","19","San Fco Gotera","l10n_sv_rk.13",ATIQUIZAYA,
"dpto_238","20","San Isidro","l10n_sv_rk.13",CONCEPCIÓN DE ATACO,
"dpto_239","21","San Simon","l10n_sv_rk.13",EL REFUGIO,
"dpto_240","22","Sensembra","l10n_sv_rk.13",GUAYMANGO,
"dpto_241","23","Sociedad","l10n_sv_rk.13",JUJUTLA,
"dpto_242","24","Torola","l10n_sv_rk.13",SAN FRANCISCO MENÉNDEZ,
"dpto_243","25","Yamabal","l10n_sv_rk.13",SAN LORENZO,
"dpto_244","26","Yoloaiquin","l10n_sv_rk.13",SAN PEDRO PUXTLA,
"dpto_245","01","Anamoros","l10n_sv_rk.14",TACUBA,
"dpto_246","02","Bolivar","l10n_sv_rk.14",TURÍN,
"dpto_247","03","Concep De Ote","l10n_sv_rk.14",CANDELARIA DE LA FRONTERA,
"dpto_248","04","Conchagua","l10n_sv_rk.14",COATEPEQUE,
"dpto_249","05","El Carmen","l10n_sv_rk.14",CHALCHUAPA,
"dpto_250","06","El Sauce","l10n_sv_rk.14",EL CONGO,
"dpto_251","07","Intipuca","l10n_sv_rk.14",EL PORVENIR,
"dpto_252","08","La Union","l10n_sv_rk.14",MASAHUAT,
"dpto_253","09","Lislique","l10n_sv_rk.14",METAPÁN,
"dpto_254","10","Meang Del Golfo","l10n_sv_rk.14",SAN ANTONIO PAJONAL,
"dpto_255","11","Nueva Esparta","l10n_sv_rk.14",SAN SEBASTIÁN SALITRILLO,
"dpto_256","12","Pasaquina","l10n_sv_rk.14",SANTA ANA,
"dpto_257","13","Poloros","l10n_sv_rk.14",STA ROSA GUACHI,
"dpto_258","14","San Alejo","l10n_sv_rk.14",STGO D LA FRONT,
"dpto_259","15","San Jose","l10n_sv_rk.14",TEXISTEPEQUE,
"dpto_260","16","Santa Rosa Lima","l10n_sv_rk.14",ACAJUTLA,
"dpto_261","17","Yayantique","l10n_sv_rk.14",ARMENIA,
"dpto_262","18","Yucuaiquin","l10n_sv_rk.14",CALUCO,
