"id","code","name"
"giro_000221","22110","Fabricación de cubiertas y cámaras; renovación y recauchutado de cubiertas"
"giro_000222","22190","Fabricación de otros productos de caucho"
"giro_000223","22201","Fabricación de envases plásticos"
"giro_000224","22202","Fabricación de productos plásticos para uso personal o doméstico"
"giro_000225","22208","Maquila de plásticos"
"giro_000226","22209","Fabricación de productos plásticos n.c.p."
"giro_000227","","FABRICACIÓN DE PRODUCTOS MINERALES NO METÁLICOS"
"giro_000228","23101","Fabricación de vidrio"
"giro_000229","23102","Fabricación de recipientes y envases de vidrio"
"giro_000230","23108","Servicio de maquilado"
"giro_000231","23109","Fabricación de productos de vidrio ncp"
"giro_000232","23910","Fabricación de productos refractarios"
"giro_000233","23920","Fabricación de productos de arcilla para la construcción"
"giro_000234","23931","Fabricación de productos de cerámica y porcelana no refractaria"
"giro_000235","23932","Fabricación de productos de cerámica y porcelana ncp"
"giro_000236","23940","Fabricación de cemento, cal y yeso"
"giro_000237","23950","Fabricación de artículos de hormigón, cemento y yeso"
"giro_000238","23960","Corte, tallado y acabado de la piedra"
"giro_000239","23990","Fabricación de productos minerales no metálicos ncp"
"giro_000240","","FABRICACIÓN DE METALES COMUNES"
"giro_000241","24100","Industrias básicas de hierro y acero"
"giro_000242","24200","Fabricación de productos primarios de metales preciosos y metales no ferrosos"
"giro_000243","24310","Fundición de hierro y acero"
"giro_000244","24320","Fundición de metales no ferrosos"
"giro_000245","","FABRICACIÓN DE PRODUCTOS DERIVADOS DE METAL, EXCEPTO MAQUINARIA Y EQUIPO"
"giro_000246","25111","Fabricación de productos metálicos para uso estructural"
"giro_000247","25118","Servicio de maquila para la fabricación de estructuras metálicas"
"giro_000248","25120","Fabricación de tanques, depósitos y recipientes de metal"
"giro_000249","25130","Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central"
"giro_000250","25200","Fabricación de armas y municiones"
"giro_000251","25910","Forjado, prensado, estampado y laminado de metales; pulvimetalurgia"
"giro_000252","25920","Tratamiento y revestimiento de metales"
"giro_000253","25930","Fabricación de artículos de cuchillería, herramientas de mano y artículos de ferretería"
"giro_000254","25991","Fabricación de envases y artículos conexos de metal"
"giro_000255","25992","Fabricación de artículos metálicos de uso personal y/o doméstico"
"giro_000256","25999","Fabricación de productos elaborados de metal ncp"
"giro_000257","","FABRICACIÓN DE PRODUCTOS DE INFORMÁTICA, ELECTRÓNICA Y ÓPTICA"
"giro_000258","26100","Fabricación de componentes electrónicos"
"giro_000259","26200","Fabricación de computadoras y equipo conexo"
"giro_000260","26300","Fabricación de equipo de comunicaciones"
"giro_000261","26400","Fabricación de aparatos electrónicos de consumo para audio, video radio y televisión"
"giro_000262","26510","Fabricación de instrumentos y aparatos para medir, verificar, ensayar, navegar y de control de procesos industriales"
"giro_000263","26520","Fabricación de relojes y piezas de relojes"
